순번,세무내용,비고,세무일정(년월일)
1,2025.2기 부가가치세 확정신고 납부,2025.7~12월분,2026-01-26
2,2026.1기 부가가치세 예정신고 납부,2026.1~3월분,2026-04-27
3,2026.1기 부가가치세 확정신고 납부,2026.1~6월분,2026-07-27
4,2026.2기 부가가치세 예정신고 납부,2026.7~9월분,2026-10-26
5,2026.2기 부가가치세 확정신고 납부,2026.7~12월분,2027-01-25
6,소득세 중간예납분 분납,2025년 1월~6월분,2026-02-02
7,2025년 귀속 부가가치세 면세사업자 사업장 현황신고,2025년 귀속,2026-02-10
8,2025귀속 종합소득세 확정신고 납부,2025년 귀속분,2026-06-01
9,사업용계좌신고,2026년 복식부기의무자,2026-06-30
10,성실신고확인대상사업자 종합소득세 확정신고 납부,2025년 귀속분,2026-06-30
11,종합소득세 확정신고분 분납(5월 신고분),2025년 귀속분,2026-08-03
12,종합소득세 확정신고분 분납(성실신고확인서제출자),2025년 귀속분,2026-08-31
13,소득세 중간예납 납부추계액 신고 납부,2026년 1월~6월분,2026-11-30
14,취업 후 학자금 상환(ICL) 원천공제 신고 납부,2025.12월분,2026-01-12
15,간이지급명세서(거주자의 사업소득) 제출기한,2025년 12월 지급분,2026-02-02
16,간이지급명세서(거주자의 기타소득) 제출기한,2025년 12월 지급분,2026-02-02
17,용역제공자에 관한 과세자료 제출기한,2025년 12월 소득 발생분,2026-02-02
18,일용근로소득지급명세서 제출,2025.12월 지급분,2026-02-02
19,간이지급명세서(근로소득) 제출기한,2025년 7월~12월 지급분,2026-02-02
20,취업 후 학자금 상환(ICL) 원천공제 신고 납부,2026.1월분,2026-02-10
21,간이지급명세서(거주자의 사업소득) 제출기한,2026년 1월 지급분,2026-03-03
22,간이지급명세서(거주자의 기타소득) 제출기한,2026년 1월 지급분,2026-03-03
23,용역제공자에 관한 과세자료 제출기한,2026년 1월 소득 발생분,2026-03-03
24,일용근로소득지급명세서 제출,2026.1월 지급분,2026-03-03
25,취업 후 학자금 상환(ICL) 원천공제 신고 납부,2026.2월분,2026-03-10
26,2025년 귀속 하반기분 근로장려금 신청기한,2025년 귀속 하반기분 신청,2026-03-16
27,간이지급명세서(거주자의 사업소득) 제출기한,2026년 2월 지급분,2026-03-31
28,간이지급명세서(거주자의 기타소득) 제출기한,2026년 2월 지급분,2026-03-31
29,용역제공자에 관한 과세자료 제출기한,2026년 2월 소득 발생분,2026-03-31
30,일용근로소득지급명세서 제출,2026.2월 지급분,2026-03-31
31,취업 후 학자금 상환(ICL) 원천공제 신고 납부,2026.3월분,2026-04-10
32,간이지급명세서(거주자의 사업소득) 제출기한,2026년 3월 지급분,2026-04-30
33,간이지급명세서(거주자의 기타소득) 제출기한,2026년 3월 지급분,2026-04-30
34,용역제공자에 관한 과세자료 제출기한,2026년 3월 소득 발생분,2026-04-30
35,일용근로소득지급명세서 제출,2026.3월 지급분,2026-04-30
36,취업 후 학자금 상환(ICL) 원천공제 신고 납부,2026.4월분,2026-05-11
37,2025년 귀속 정기분 근로·자녀장려금 신청기한,2025년 귀속 정기 신청,2026-06-01
38,간이지급명세서(거주자의 사업소득) 제출기한,2026년 4월 지급분,2026-06-01
39,간이지급명세서(거주자의 기타소득) 제출기한,2026년 4월 지급분,2026-06-01
40,용역제공자에 관한 과세자료 제출기한,2026년 4월 소득 발생분,2026-06-01
41,일용근로소득지급명세서 제출,2026.4월 지급분,2026-06-01
42,취업 후 학자금 상환(ICL) 원천공제채무자 미리납부 기한(1년분 상환액 및 50% 1회차 분할상환액),2025년 귀속분,2026-06-01
43,취업 후 학자금 상환(ICL) 원천공제 신고 납부,2026.5월분,2026-06-10
44,간이지급명세서(거주자의 사업소득) 제출기한,2026년 5월 지급분,2026-06-30
45,간이지급명세서(거주자의 기타소득) 제출기한,2026년 5월 지급분,2026-06-30
46,용역제공자에 관한 과세자료 제출기한,2026년 5월 소득 발생분,2026-06-30
47,일용근로소득지급명세서 제출,2026.5월 지급분,2026-06-30
48,취업 후 학자금 상환(ICL) 납부통지서 의무상환액 납부기한,2024년 귀속,2026-06-30
49,취업 후 학자금 상환(ICL) 원천공제 신고 납부,2026.6월분,2026-07-10
50,간이지급명세서(거주자의 사업소득) 제출기한,2026년 6월 지급분,2026-07-31
51,간이지급명세서(거주자의 기타소득) 제출기한,2026년 6월 지급분,2026-07-31
52,용역제공자에 관한 과세자료 제출기한,2026년 6월 소득 발생분,2026-07-31
53,간이지급명세서(근로소득) 제출기한,2026년 1월~6월 지급분,2026-07-31
54,일용근로소득지급명세서 제출,2026.6월 지급분,2026-07-31
55,취업 후 학자금 상환(ICL) 원천공제 신고 납부,2026.7월분,2026-08-10
56,상환금명세서 신고 간소화 서비스 신청기한,2025년 귀속분,2026-08-10
57,간이지급명세서(거주자의 사업소득) 제출기한,2026년 7월 지급분,2026-08-31
58,간이지급명세서(거주자의 기타소득) 제출기한,2026년 7월 지급분,2026-08-31
59,용역제공자에 관한 과세자료 제출기한,2026년 7월 소득 발생분,2026-08-31
60,일용근로소득지급명세서 제출,2026.7월 지급분,2026-08-31
61,취업 후 학자금 상환(ICL) 원천공제 신고 납부,2026.8월분,2026-09-10
62,2026년 귀속 상반기분 근로·자녀장려금 신청기한,2026년 귀속 상반기분 신청,2026-09-15
63,간이지급명세서(거주자의 사업소득) 제출기한,2026년 8월 지급분,2026-09-30
64,간이지급명세서(거주자의 기타소득) 제출기한,2026년 8월 지급분,2026-09-30
65,용역제공자에 관한 과세자료 제출기한,2026년 8월 소득 발생분,2026-09-30
66,일용근로소득지급명세서 제출,2026.8월 지급분,2026-09-30
67,취업 후 학자금 상환(ICL) 원천공제 신고 납부,2026.9월분,2026-10-12
68,간이지급명세서(거주자의 사업소득) 제출기한,2026년 9월 지급분,2026-11-02
69,간이지급명세서(거주자의 기타소득) 제출기한,2026년 9월 지급분,2026-11-02
70,용역제공자에 관한 과세자료 제출기한,2026년 9월 소득 발생분,2026-11-02
71,일용근로소득지급명세서 제출,2026.9월 지급분,2026-11-02
72,취업 후 학자금 상환(ICL) 원천공제 신고 납부,2026.10월분,2026-11-10
73,2025년 귀속 정기분 근로·자녀장려금 기한 후 신청기한,2025년 귀속 기한 후 신청,2026-11-30
74,간이지급명세서(거주자의 사업소득) 제출기한,2026년 10월 지급분,2026-11-30
75,간이지급명세서(거주자의 기타소득) 제출기한,2026년 10월 지급분,2026-11-30
76,용역제공자에 관한 과세자료 제출기한,2026년 10월 소득 발생분,2026-11-30
77,일용근로소득지급명세서 제출,2026.10월 지급분,2026-11-30
78,취업 후 학자금 상환(ICL) 원천공제채무자 미리납부 기한(50% 2회차 분할상환액),2025년 귀속분,2026-11-30
79,취업 후 학자금 상환(ICL) 원천공제 신고 납부,2026.11월분,2026-12-10
80,간이지급명세서(거주자의 사업소득) 제출기한,2026년 11월 지급분,2026-12-31
81,간이지급명세서(거주자의 기타소득) 제출기한,2026년 11월 지급분,2026-12-31
82,용역제공자에 관한 과세자료 제출기한,2026년 11월 소득 발생분,2026-12-31
83,일용근로소득지급명세서 제출,2026.11월 지급분,2026-12-31
84,취업 후 학자금 상환(ICL) 원천공제 신고 납부,2026.12월분,2027-01-11
85,간이지급명세서(거주자의 사업소득) 제출기한,2026년 12월 지급분,2027-02-01
86,간이지급명세서(거주자의 기타소득) 제출기한,2026년 12월 지급분,2027-02-01
87,용역제공자에 관한 과세자료 제출기한,2026년 12월 소득 발생분,2027-02-01
88,간이지급명세서(근로소득) 제출기한,2026년 7월~12월 지급분,2027-02-01
89,일용근로소득지급명세서 제출,2026.12월 지급분,2027-02-01
90,간이지급명세서(거주자의 사업소득) 제출기한,2027년 1월 지급분,2027-03-02
91,간이지급명세서(거주자의 기타소득) 제출기한,2027년 1월 지급분,2027-03-02
92,용역제공자에 관한 과세자료 제출기한,2027년 1월 소득 발생분,2027-03-02
93,일용근로소득지급명세서 제출,2027.1월 지급분,2027-03-02
94,간이지급명세서(근로소득) 제출기한,2027년 1월 지급분,2027-03-02
